Category,ID,Name,Ingredient Source,Ingredient Tier,Dish Revenue (cr),Reputation Gain,Unlock Condition,Notes

INGREDIENTS — COMMON,meat_scavenger,Scavenger Meat,Pirate / Drone kill,Common,—,—,Start,"Low quality. Used in cheap dishes."
INGREDIENTS — COMMON,scrap_protein,Scrap Protein,Minelayer / Interceptor,Common,—,—,Start,"Synthesized from wreckage. Budget ingredient."
INGREDIENTS — RARE,void_flesh,Void Flesh,Void Sentinel kill,Rare,—,—,Zone 3+,"Rich flavor. Mid-tier dishes."
INGREDIENTS — RARE,carrier_organ,Carrier Organ,Carrier kill,Rare,—,—,Zone 3+,"Large yield per kill."
INGREDIENTS — EXOTIC,sentinel_core,Sentinel Core,Void Sentinel (rare drop),Exotic,—,—,Zone 5,"Legendary ingredient. Top-tier dishes only."
INGREDIENTS — EXOTIC,deep_crystal_growth,Crystal Growth,Deep Space asteroids,Exotic,—,—,Zone 4+,"Not a creature — mined. Used as garnish/spice."

DISHES — TIER 1 (Fastfood),dish_scavenger_wrap,Scavenger Wrap,Scavenger Meat x2,Common,40,1,Start,"Dad's worst recipe. Barely edible."
DISHES — TIER 1 (Fastfood),dish_scrap_bowl,Scrap Protein Bowl,Scrap Protein x3,Common,30,1,Start,"The bottom of the menu."
DISHES — TIER 2 (Casual),dish_void_steak,Void Steak,Void Flesh x1 + Ore x5,Rare,120,3,Rep 20,"Seared. Guests are impressed."
DISHES — TIER 2 (Casual),dish_carrier_roast,Carrier Roast,Carrier Organ x1,Rare,150,4,Rep 30,"Slow-cooked. Unlocks regulars."
DISHES — TIER 3 (Fine Dining),dish_sentinel_tartare,Sentinel Tartare,Sentinel Core x1 + Crystal x3,Exotic,400,10,Rep 60,"Critics take notice."
DISHES — TIER 3 (Fine Dining),dish_deep_crystal_amuse,Crystal Amuse-Bouche,Crystal Growth x2,Exotic,300,8,Rep 50,"One bite. Legendary."

RESTAURANT UPGRADES,upgrade_kitchen_1,Basic Kitchen,—,—,—,—,Start,"Unlocks Tier 1 dishes. Starting state."
RESTAURANT UPGRADES,upgrade_kitchen_2,Proper Kitchen,500 cr,—,—,—,Rep 15,"Unlocks Tier 2 dishes."
RESTAURANT UPGRADES,upgrade_kitchen_3,Gourmet Kitchen,2000 cr,—,—,—,Rep 45,"Unlocks Tier 3 dishes."
RESTAURANT UPGRADES,upgrade_seating_1,More Tables,300 cr,—,+20% passive income,—,Rep 10,"More customers per cycle."
RESTAURANT UPGRADES,upgrade_decor_1,Neon Sign,200 cr,—,—,+2 rep/cycle,Rep 5,"Attracts walk-ins."
RESTAURANT UPGRADES,upgrade_storage,Cold Storage,400 cr,—,—,—,Rep 20,"Hold ingredients between hunts. Without it ingredients expire."

REPUTATION THRESHOLDS,rep_0,Shithole Fastfood,0–19,—,—,—,—,"Starting state. Dad's legacy."
REPUTATION THRESHOLDS,rep_1,Decent Joint,20–39,—,—,—,—,"Locals start talking."
REPUTATION THRESHOLDS,rep_2,Hidden Gem,40–59,—,—,—,—,"Sector food blogs mention you."
REPUTATION THRESHOLDS,rep_3,Renowned,60–79,—,—,—,—,"Pilots from other sectors make detours."
REPUTATION THRESHOLDS,rep_4,Galaxy Famous,80–100,—,—,—,—,"Most famous delicacy in the sector. Win state."
